"file","add_meta_box_hits","save_hook_hits","update_post_meta_calls","nonce_checks","capability_checks","registers_meta_rest"
"chroma-excellence-theme\inc\about-page-meta.php","9","2","3","1","0","0"
"chroma-excellence-theme\inc\about-seo.php","1","1","3","1","2","3"
"chroma-excellence-theme\inc\careers-page-meta.php","4","2","3","1","0","0"
"chroma-excellence-theme\inc\city-slug-logic.php","1","0","0","0","0","0"
"chroma-excellence-theme\inc\class-program-enhancements.php","3","1","3","1","1","0"
"chroma-excellence-theme\inc\contact-page-meta.php","5","2","3","1","0","0"
"chroma-excellence-theme\inc\cpt-careers.php","1","1","1","1","1","0"
"chroma-excellence-theme\inc\cpt-locations.php","1","1","2","1","1","0"
"chroma-excellence-theme\inc\cpt-programs.php","4","4","10","4","5","8"
"chroma-excellence-theme\inc\cpt-team-members.php","2","1","2","1","2","1"
"chroma-excellence-theme\inc\curriculum-page-meta.php","6","2","3","1","0","0"
"chroma-excellence-theme\inc\employers-page-meta.php","4","2","3","1","0","0"
"chroma-excellence-theme\inc\general-seo-meta.php","1","1","2","1","1","0"
"chroma-excellence-theme\inc\home-page-meta.php","5","1","2","1","1","0"
"chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php","2","1","1","1","1","0"
"chroma-excellence-theme\inc\parents-page-meta.php","8","2","3","1","0","0"
"chroma-excellence-theme\inc\privacy-page-meta.php","2","2","5","2","1","0"
"chroma-excellence-theme\inc\schema-meta-boxes.php","3","3","8","3","3","0"
"chroma-excellence-theme\inc\stories-page-meta.php","1","1","1","1","1","0"
"chroma-plugins\chroma-lead-log\chroma-lead-log.php","1","1","1","0","1","0"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","4","1","5","1","0","0"
"plugins\chroma-school-dashboard\inc\class-post-type.php","2","1","6","1","0","0"
"plugins\chroma-seo-pro-reset\inc\class-meta-box-base.php","2","1","0","1","1","0"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-location-advanced-schema.php","2","1","2","1","1","0"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-schema-editor-metabox.php","1","1","1","0","1","0"
