"file","box_id","title","callback","post_type_expr"
"chroma-excellence-theme\inc\class-program-enhancements.php","program_faq","??? FAQ Section","[$this","'render_faq_metabox']"
"chroma-excellence-theme\inc\class-program-enhancements.php","program_gallery","???? Photo Gallery","[$this","'render_gallery_metabox']"
"chroma-excellence-theme\inc\class-program-enhancements.php","program_testimonials","???? Testimonials","[$this","'render_testimonials_metabox']"
"chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php","chroma_post_newsroom","Newsroom Settings","[$this","'render_meta_box']"
"chroma-excellence-theme\inc\privacy-page-meta.php","privacy_page_general","Privacy Policy Settings","'chroma_privacy_page_general_callback'","'page'"
"chroma-excellence-theme\inc\privacy-page-meta.php","privacy_page_sections","Privacy Policy Sections","'chroma_privacy_page_sections_callback'","'page'"
"chroma-plugins\chroma-lead-log\chroma-lead-log.php","chroma_lead_details","Lead Details","'chroma_lead_log_render_details'","'lead_log'"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","chroma_portal_event_date_box","Event Date","[$this","'render_event_date_box']"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","chroma_portal_pdf_box","Document File (PDF)","[$this","'render_pdf_box']"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","chroma_portal_pin_box","Family PIN","[$this","'render_pin_box']"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","chroma_portal_priority_box","Priority","[$this","'render_priority_box']"
"plugins\chroma-school-dashboard\inc\class-post-type.php","chroma_school_config","School Configuration","[$this","'render_config_box']"
"plugins\chroma-school-dashboard\inc\class-post-type.php","chroma_school_content","School Content","[$this","'render_content_box']"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-location-advanced-schema.php","chroma_location_advanced_schema","???? Location Facts & Advanced Schema","[$this","'render_meta_box']"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-schema-editor-metabox.php","chroma_schema_tools","???? Schema Tools","[$this","'render_metabox']"
