"file","save_hooks","explicit_keys","delete_keys","dynamic_key_updates","nonce_checks","capability_checks"
"chroma-excellence-theme\inc\about-page-meta.php","2","_about_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\about-seo.php","1","about_meta_description, about_meta_title, about_structured_data","","0","1","2"
"chroma-excellence-theme\inc\careers-page-meta.php","2","_careers_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\city-slug-logic.php","0","","","0","0","0"
"chroma-excellence-theme\inc\class-program-enhancements.php","1","program_faqs, program_gallery, program_testimonials","program_faqs, program_gallery, program_testimonials","0","1","1"
"chroma-excellence-theme\inc\contact-page-meta.php","2","_contact_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\cpt-careers.php","1","","","1","1","1"
"chroma-excellence-theme\inc\cpt-locations.php","1","location_quality_rated","","1","1","1"
"chroma-excellence-theme\inc\cpt-programs.php","4","program_anchor_slug, program_faq_items, program_locations, program_meta_description, program_meta_title, program_seo_heading, program_seo_highlights, program_seo_summary","","2","4","5"
"chroma-excellence-theme\inc\cpt-team-members.php","1","team_member_title","","0","1","2"
"chroma-excellence-theme\inc\curriculum-page-meta.php","2","_curriculum_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\employers-page-meta.php","2","_employers_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\general-seo-meta.php","1","meta_description, meta_keywords","","0","1","1"
"chroma-excellence-theme\inc\home-page-meta.php","1","","","2","1","1"
"chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php","1","_chroma_show_in_newsroom","","0","1","1"
"chroma-excellence-theme\inc\parents-page-meta.php","2","_parents_defaults_seeded","","2","1","0"
"chroma-excellence-theme\inc\privacy-page-meta.php","2","_privacy_defaults_seeded, privacy_last_updated","","1","2","1"
"chroma-excellence-theme\inc\schema-meta-boxes.php","3","","","8","3","3"
"chroma-excellence-theme\inc\stories-page-meta.php","1","stories_featured_post","stories_featured_post","0","1","1"
"chroma-plugins\chroma-lead-log\chroma-lead-log.php","1","_chroma_webhook_sent","","0","0","1"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-city-landing-meta.php","0","city_county, city_intro_text, city_nearby_locations","city_nearby_locations","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-context.php","0","seo_llm_key_differentiators, seo_llm_primary_intent, seo_llm_target_queries","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-prompt.php","0","seo_llm_description, seo_llm_when_to_recommend","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-hreflang-options.php","0","alternate_url_en, alternate_url_es","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-citation-facts.php","0","seo_llm_citation_facts","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-events.php","0","location_events","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-howto.php","0","location_enrollment_steps","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-context.php","0","seo_llm_key_differentiators, seo_llm_primary_intent, seo_llm_target_queries","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-prompt.php","0","seo_llm_description, seo_llm_when_to_recommend","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-media.php","0","","","1","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-pricing.php","0","","","1","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-reviews.php","0","seo_llm_aggregate_rating_best, seo_llm_aggregate_rating_count, seo_llm_aggregate_rating_value, seo_llm_aggregate_rating_worst","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-service-area.php","0","seo_llm_service_area_cities, seo_llm_service_area_lat, seo_llm_service_area_lng, seo_llm_service_area_radius, seo_llm_service_area_state","","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-post-newsroom.php","0","_chroma_show_in_newsroom","_chroma_show_in_newsroom","0","0","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-program-relationships.php","0","program_locations_served, program_prerequisites, program_related","program_locations_served, program_prerequisites, program_related","0","1","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-spanish-content.php","0","_chroma_es_content, _chroma_es_excerpt, _chroma_es_history, _chroma_es_title","","2","0","2"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-universal-faq.php","0","chroma_faq_items","chroma_faq_items","0","0","0"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","1","_cp_event_date, _cp_pdf_file_id, _cp_pin_hash, _cp_pin_simple_hash, _cp_priority","","0","1","0"
"plugins\chroma-school-dashboard\inc\class-post-type.php","1","_chroma_school_config, _chroma_school_director_email, _chroma_school_eom, _chroma_school_newsletter, _chroma_school_slideshow, _chroma_school_slideshow_title","","0","1","0"
"plugins\chroma-seo-pro-reset\inc\class-meta-box-base.php","1","","","0","1","1"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-location-advanced-schema.php","1","","","2","1","1"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-schema-editor-metabox.php","1","_chroma_schema_confidence","","0","0","1"
