meta_key,source_file,discovery_methods,api_write,content_write_policy,geo_status
_about_defaults_seeded,chroma-excellence-theme/inc/about-page-meta.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_date_posted,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_location,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_salary,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_salary_currency,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_salary_unit,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_career_type,chroma-excellence-theme/inc/cpt-careers.php,get_post_meta,content/{id},"allowed on content/{id}","private by default"
_careers_defaults_seeded,chroma-excellence-theme/inc/careers-page-meta.php,update_post_meta|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_amenities,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-advanced-schema.php,get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
_chroma_caps_accepted,plugins/chroma-seo-pro-reset/inc/meta-boxes/class-location-advanced-schema.php,get_post_meta,content/{id},"allowed on content/{id}","allowed in geo-feed"
_chroma_es_about_cta_description,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_cta_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator1_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator1_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator2_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator2_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator3_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educator3_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educators_description,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_educators_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_hero_badge_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_hero_description,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_hero_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_leadership_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_mission_quote,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_nutrition_bullet1_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_nutrition_bullet2_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_nutrition_bullet3_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_nutrition_description,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_nutrition_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_bullet1_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_bullet2_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_bullet3_text,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_description,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_subtitle,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_philanthropy_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_stat1_label,chroma-excellence-theme/inc/about-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_stat2_label,chroma-excellence-theme/inc/about-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_stat3_label,chroma-excellence-theme/inc/about-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_stat4_label,chroma-excellence-theme/inc/about-page-meta.php,field_map,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_story_paragraph1,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_story_paragraph2,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_story_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value1_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value1_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value2_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value2_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value3_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value3_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value4_desc,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
_chroma_es_about_value4_title,chroma-excellence-theme/inc/about-page-meta.php,field_map|get_post_meta,content/{id},"allowed on content/{id}","private by default"
