"campusId","campus","slug","requirement","evidenceField","evidenceValue","status","ownerGate","nextAction"
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Campus name","post_title","Chadwick Campus","Present","No","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","City and neighborhood","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Full address","address","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Phone number","phone","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Campus email","email","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Current operating hours","hours","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Directions and map","coordinates","yes","Present","No","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Real campus photography","images","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Short campus-specific introduction","intro","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Current director biography","director","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Programs offered","programs","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Ages served","ages","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Verified campus features","features","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Current school pickups","school_pickups","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","GA Pre-K availability","ga_pre_k","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","CAPS participation","caps","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Quality Rated status","quality_rated","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Licensing information","licensing","missing","Missing","Yes","Supply and verify the missing campus field."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Parent testimonials for that campus","testimonial","optional","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Tuition inquiry","tuition","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Availability or waitlist information","availability","fallback","Optional or fallback","Yes","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Schedule-a-tour form","tour_link","fallback","Optional or fallback","No","Field is intentionally omitted or uses a safe template fallback; confirm whether campus-specific publication is required."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Local FAQ","faq","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Nearby communities served","nearby_communities","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Nearby landmarks or access information","nearby_access","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
"6779","Chadwick Campus","chroma-early-learning-academy-chadwick","Date the page was last reviewed","last_reviewed","yes","Present","Yes","Confirm current accuracy against the campus source of truth."
