__ID_4289
post_id,meta_key,meta_value
4289,_edit_lock,1777504073:9
4289,_edit_last,9
4289,location_hero_subtitle,
4289,location_tagline,"Downtown Duluth Campus, Duluth GA"
4289,location_description,"At Chroma Early Learning Academy, we provide a nurturing environment where your child's growth and development take center stage. Situated in the vibrant community of Pleasant Hill, GA, we offer innovative and personalized learning experiences designed to foster creativity and independence. Discover a place where education meets care."
4289,location_google_rating,4.6
4289,location_hours,6:30am-6:30pm
4289,location_ages_served,
4289,location_director_name,"Ranae Johnson"
4289,location_director_bio,"Renae Johnson – Chroma ELA Pleasant Hill Center Director
I’m from Florida, have lived in Geogia for 21 years.  I’m a mother of two beautiful daughter’s and grandmother to three wonderful and talented grandchildren.  I have been involved and working in Early Childhood education as a Teacher, Support Service Coord., Facilities Coord, Family Partner and Director for 28 plus years. I truly enjoy what I do.  
I enjoy spending time with family and friends, SHOPPING (especially shoes) LOL…, attending jazz events, Motorcycle events and riding my Harley."
4289,location_director_photo,https://chromaela.com/wp-content/uploads/2025/11/renae.webp
4289,location_director_signature,
4289,location_maps_embed,"<iframe src=""https://maps.google.com/maps?cid=8825850787827028411&amp;output=embed"" width=""100%"" height=""400"" style=""border:0;border-radius:12px"" allowfullscreen loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade"" title=""Chroma Location Map"">
</iframe>
"
4289,location_tour_booking_link,https://api.leadconnectorhq.com/widget/booking/qqekul20rH0iU9Yrhfp2
4289,location_school_pickups,"Pleasant Hill Elementary School – 3270 Brownlee Rd, Duluth, GA 30096
Ferguson Elementary School – 1755 Centerview Dr, Duluth, GA 30096
Corley Elementary School – 1331 Pleasant Hill Rd, Lawrenceville, GA 30044
Kanoheda Elementary School – 1025 Herrington Rd, Lawrenceville, GA 30044
Meadowcreek Elementary School – 2795 Residential Dr, Duluth, GA 30096"
4289,location_seo_content_title,"Chroma Academy Childcare: Duluth, GA | Enroll Now"
4289,location_seo_content_text,"📍 Neighborhoods, Areas Served & Nearby Schools – Pleasant Hill / Duluth Campus, GA

Chroma Early Learning Academy – Pleasant Hill / Duluth Campus provides trusted daycare, childcare, preschool, GA Pre-K, and school-age programs for families throughout Duluth, GA, and surrounding North Metro Atlanta communities. Our nurturing, secure early learning environment is designed to support children from infancy through school age, helping build strong academic, social, and emotional foundations.

We proudly serve families from nearby neighborhoods and areas including Downtown Duluth, Pleasant Hill, Meadowcreek, Centerview, Sugarloaf, Buford, and Lawrenceville, making quality early education easily accessible for local parents. Chroma Duluth is also a convenient choice for families with children attending nearby schools such as Pleasant Hill Elementary School, Ferguson Elementary School, Meadowcreek Elementary School, Corley Elementary School, and Kanoheda Elementary School, offering dependable early education and childcare close to home.

With experienced educators, engaging classrooms, and a strong focus on safety and development, Chroma Early Learning Academy – Pleasant Hill / Duluth Campus is a trusted partner for families seeking quality daycare and preschool programs in the Duluth area."
4289,location_address,"3152 Creek Dr NW, Duluth, GA 30096, United States"
4289,location_city,Duluth
4289,location_state,
4289,location_zip,30096
4289,location_phone,470-470-3436
4289,location_email,pleasanthill@chromaela.com
4289,location_latitude,33.9849116
4289,location_longitude,-84.1527615
4289,_yoast_wpseo_primary_location_region,20
4289,_yoast_wpseo_estimated-reading-time-minutes,0
4289,_yoast_wpseo_wordproof_timestamp,
4289,_eael_post_view_count,30
