record_type	ID	post_title	post_name	age_range	parent_intro	experience	priorities	prism_stage	image	campus_links	cta	schedule	faq	seo
program	4219	Infant Care	infant-care	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4293	Toddlers	toddler-care	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4322	Preschool	preschool	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4323	Pre-K Prep	pre-k-prep	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4324	Pre-K / GA Pre-K	ga-pre-k	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4325	Schoolagers	after-school	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	4326	Camp ( Summer, Winter, Fall)	camp-summer-winter-fall	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
program	6785	Kindergarten	kindergarten-1	yes	yes	yes	yes	yes	yes	yes	yes	missing	fallback	yes
program	7708	Rising Pre-K	rising-pre-k	yes	yes	yes	yes	yes	yes	yes	yes	missing	fallback	fallback
program	7709	Rising Kindergarten	rising-kindergarten	yes	yes	yes	yes	yes	yes	yes	yes	missing	fallback	fallback
program	4327	Parent's Day Out	parents-day-out	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	fallback
record_type	ID	post_title	post_name	address	phone	email	hours	coordinates	tour_link	images	faq	director	intro	programs	ages	features	school_pickups	ga_pre_k	caps	quality_rated	licensing	testimonial	tuition	availability	nearby_communities	nearby_access	last_reviewed
location	6779	Chadwick Campus	chroma-early-learning-academy-chadwick	yes	yes	yes	yes	yes	fallback	yes	yes	optional	yes	yes	yes	yes	optional	optional	optional	yes	missing	optional	fallback	fallback	yes	yes	yes
location	4406	Cherokee Academy by Chroma, Canton GA	cherokee-campus	yes	yes	yes	yes	yes	yes	yes	fallback	yes	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4289	Downtown Duluth	pleasanthill-campus-duluth	yes	yes	yes	yes	yes	yes	yes	fallback	yes	yes	yes	fallback	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4410	Ellenwood Campus	ellenwood-campus	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	6781	Grayson Campus	chroma-early-learning-academy-grayson	yes	yes	yes	yes	yes	yes	fallback	yes	optional	yes	yes	yes	yes	optional	yes	optional	optional	missing	optional	fallback	fallback	yes	yes	yes
location	4237	Johns Creek Campus	johns-creek	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4414	Jonesboro Campus	jonesboro-campus	yes	yes	yes	yes	yes	yes	yes	fallback	yes	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4288	Lawrenceville Campus	lawrenceville-campus	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	fallback	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4407	Lilburn Campus	lilburn-campus	yes	yes	yes	yes	yes	yes	yes	yes	optional	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
location	4408	Marietta Campus ( East )	east-cobb-campus	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	optional	yes	missing	yes	fallback	fallback	yes	yes	yes
