kind,name,path,target,status,notes
package,chroma-excellence-theme,chroma-excellence-theme/package.json,dev:css=postcss assets/css/input.css -o assets/css/main.css --watch; build:css=node scripts/build-css.js; build:rev=node scripts/rev-theme-assets.js; dev=npm run dev:css; build=npm run build:css && npm run build:rev,inventory,
package,chroma-director-portal,director-portal/package.json,dev=next dev; build=next build; start=next start; lint=next lint,inventory,
package,lighthouse-automation,lighthouse-automation/package.json,"test=echo ""Error: no test specified"" && exit 1; start=node run-lighthouse-from-sitemap.mjs",inventory,
package,chroma-qa-reports-react,plugins/QA-Report-App/chroma-qa-reports/build-env/package.json,build=wp-scripts build; start=wp-scripts start; check-engines=wp-scripts check-engines; check-licenses=wp-scripts check-licenses; format=wp-scripts format; lint:css=wp-scripts lint-style; lint:js=wp-scripts lint-js; packages-update=wp-scripts packages-update; plugin-zip=wp-scripts plugin-zip; test:e2e=wp-scripts test-e2e; test:unit=wp-scripts test-unit-js,inventory,
package,chroma-qa-reports-tests,plugins/QA-Report-App/chroma-qa-reports/package.json,test=jest; test:watch=jest --watch; test:coverage=jest --coverage,inventory,
package,chroma-parent-portal,plugins/chroma-parent-portal/build-env/package.json,build=wp-scripts build --output-path=../build; start=wp-scripts start; packages-update=wp-scripts packages-update,inventory,
package,chroma-school-dashboard,plugins/chroma-school-dashboard/package.json,"build:js=esbuild assets/src/portal.jsx --bundle --minify --sourcemap --outfile=assets/dist/portal.js --define:process.env.NODE_ENV=\""production\"" --external:react --external:react-dom; build:css=tailwindcss -i assets/src/portal.css -o assets/dist/portal.css --minify; build=npm run build:js && npm run build:css; watch=npm run build:js -- --watch & npm run build:css -- --watch",inventory,
asset-ref,assets/video/hero-classroom.mp4,AUDIT-2-IMAGE-LOADING-ISSUES.md,assets/video/hero-classroom.mp4,missing,
asset-ref,assets/video/hero-classroom.mp4,COMPREHENSIVE-FIX-PLAN.md,assets/video/hero-classroom.mp4,missing,
asset-ref,assets/images/chroma-logo.png,chroma-excellence-theme/404.php,chroma-excellence-theme/assets/images/chroma-logo.png,exists,
