"file","hook","callback"
"chroma-excellence-theme\functions.php","save_post","'chroma_clear_query_cache'"
"chroma-excellence-theme\inc\about-page-meta.php","save_post","'chroma_save_about_page_meta'"
"chroma-excellence-theme\inc\about-page-meta.php","save_post","'chroma_seed_about_page_defaults'"
"chroma-excellence-theme\inc\about-seo.php","save_post_page","'chroma_save_about_meta_box'"
"chroma-excellence-theme\inc\careers-page-meta.php","save_post","'chroma_save_careers_page_meta'"
"chroma-excellence-theme\inc\careers-page-meta.php","save_post","'chroma_seed_careers_page_defaults'"
"chroma-excellence-theme\inc\class-data-service.php","save_post_chroma_school","function ("
"chroma-excellence-theme\inc\class-data-service.php","save_post_location","function ("
"chroma-excellence-theme\inc\class-data-service.php","save_post_program","function ("
"chroma-excellence-theme\inc\class-program-enhancements.php","save_post_program","[$this"
"chroma-excellence-theme\inc\contact-page-meta.php","save_post","'chroma_save_contact_page_meta'"
"chroma-excellence-theme\inc\contact-page-meta.php","save_post","'chroma_seed_contact_page_defaults'"
"chroma-excellence-theme\inc\cpt-careers.php","save_post_career","'chroma_save_career_meta'"
"chroma-excellence-theme\inc\cpt-locations.php","save_post_location","'chroma_save_location_custom_fields'"
"chroma-excellence-theme\inc\cpt-programs.php","save_post","'chroma_program_meta_box_save'"
"chroma-excellence-theme\inc\cpt-programs.php","save_post_program","'chroma_program_details_meta_box_save'"
"chroma-excellence-theme\inc\cpt-programs.php","save_post_program","'chroma_program_locations_meta_box_save'"
"chroma-excellence-theme\inc\cpt-programs.php","save_post_program","'chroma_program_single_page_meta_box_save'"
"chroma-excellence-theme\inc\cpt-team-members.php","save_post","'chroma_team_member_save_meta_box'"
"chroma-excellence-theme\inc\curriculum-page-meta.php","save_post","'chroma_save_curriculum_page_meta'"
"chroma-excellence-theme\inc\curriculum-page-meta.php","save_post","'chroma_seed_curriculum_page_defaults'"
"chroma-excellence-theme\inc\employers-page-meta.php","save_post","'chroma_save_employers_page_meta'"
"chroma-excellence-theme\inc\employers-page-meta.php","save_post","'chroma_seed_employers_page_defaults'"
"chroma-excellence-theme\inc\general-seo-meta.php","save_post","'chroma_save_general_seo_meta'"
"chroma-excellence-theme\inc\home-page-meta.php","save_post","'chroma_home_save_meta_box_data'"
"chroma-excellence-theme\inc\meta-boxes\class-post-newsroom.php","save_post","[$this"
"chroma-excellence-theme\inc\parents-page-meta.php","save_post","'chroma_save_parents_page_meta'"
"chroma-excellence-theme\inc\parents-page-meta.php","save_post","'chroma_seed_parents_page_defaults'"
"chroma-excellence-theme\inc\performance-optimizations.php","save_post_program","'chroma_sync_program_locations_taxonomy'"
"chroma-excellence-theme\inc\privacy-page-meta.php","save_post","'chroma_save_privacy_page_meta'"
"chroma-excellence-theme\inc\privacy-page-meta.php","save_post","'chroma_seed_privacy_page_defaults'"
"chroma-excellence-theme\inc\schema-meta-boxes.php","save_post_location","'chroma_save_schema_location_meta'"
"chroma-excellence-theme\inc\schema-meta-boxes.php","save_post_page","'chroma_save_schema_organization_meta'"
"chroma-excellence-theme\inc\schema-meta-boxes.php","save_post_program","'chroma_save_schema_program_meta'"
"chroma-excellence-theme\inc\stories-page-meta.php","save_post","'chroma_save_stories_page_meta'"
"chroma-plugins\chroma-lead-log\chroma-lead-log.php","save_post","'chroma_lead_log_trigger_webhook'"
"plugins\chroma-parent-portal\chroma-parent-portal.php","save_post","function ($post_id"
"plugins\chroma-parent-portal\includes\class-meta-boxes.php","save_post","[$this"
"plugins\chroma-school-dashboard\inc\class-post-type.php","save_post","[$this"
"plugins\chroma-seo-pro-reset\inc\class-llms-txt.php","save_post","[$this"
"plugins\chroma-seo-pro-reset\inc\class-meta-box-base.php","save_post","[$this"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-location-advanced-schema.php","save_post_location","[$this"
"plugins\chroma-seo-pro-reset\inc\meta-boxes\class-schema-editor-metabox.php","save_post","[$this"
"plugins\chroma-seo-pro-reset\inc\seo-automations\class-footer-city-links.php","save_post_location","[$this"
