"file","class","explicit_meta_keys","dynamic_updates"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-city-landing-meta.php","Chroma_City_Landing_Meta extends Chroma_Advanced_SEO_Meta_Box_Base","city_county, city_intro_text, city_nearby_locations","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-context.php","Chroma_General_LLM_Context extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_key_differentiators, seo_llm_primary_intent, seo_llm_target_queries","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-prompt.php","Chroma_General_LLM_Prompt extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_description, seo_llm_when_to_recommend","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-hreflang-options.php","Chroma_Hreflang_Options extends Chroma_Advanced_SEO_Meta_Box_Base","alternate_url_en, alternate_url_es","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-citation-facts.php","Chroma_Location_Citation_Facts_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_citation_facts","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-events.php","Chroma_Location_Events_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","location_events","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-howto.php","Chroma_Location_HowTo_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","location_enrollment_steps","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-context.php","Chroma_Location_LLM_Context_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_key_differentiators, seo_llm_primary_intent, seo_llm_target_queries","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-prompt.php","Chroma_Location_LLM_Prompt_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_description, seo_llm_when_to_recommend","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-media.php","Chroma_Location_Media_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","","1"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-pricing.php","Chroma_Location_Pricing_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","","1"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-reviews.php","Chroma_Location_Reviews_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_aggregate_rating_best, seo_llm_aggregate_rating_count, seo_llm_aggregate_rating_value, seo_llm_aggregate_rating_worst","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-service-area.php","Chroma_Location_Service_Area_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","seo_llm_service_area_cities, seo_llm_service_area_lat, seo_llm_service_area_lng, seo_llm_service_area_radius, seo_llm_service_area_state","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-post-newsroom.php","Chroma_Post_Newsroom extends Chroma_Advanced_SEO_Meta_Box_Base","_chroma_show_in_newsroom","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-program-relationships.php","Chroma_Program_Relationships extends Chroma_Advanced_SEO_Meta_Box_Base","program_locations_served, program_prerequisites, program_related","0"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-spanish-content.php","Chroma_Spanish_Content_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","_chroma_es_content, _chroma_es_excerpt, _chroma_es_history, _chroma_es_title","2"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-universal-faq.php","Chroma_Universal_FAQ extends Chroma_Advanced_SEO_Meta_Box_Base","chroma_faq_items","0"
