"file","class","post_types","explicit_meta_keys","has_dynamic_update"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-city-landing-meta.php","Chroma_City_Landing_Meta extends Chroma_Advanced_SEO_Meta_Box_Base","'city'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-context.php","Chroma_General_LLM_Context extends Chroma_Advanced_SEO_Meta_Box_Base","'location', 'program', 'page', 'post', 'city'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-general-llm-prompt.php","Chroma_General_LLM_Prompt extends Chroma_Advanced_SEO_Meta_Box_Base","'location', 'program', 'page', 'post', 'city'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-hreflang-options.php","Chroma_Hreflang_Options extends Chroma_Advanced_SEO_Meta_Box_Base","'page', 'location', 'program', 'post'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-citation-facts.php","Chroma_Location_Citation_Facts_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-events.php","Chroma_Location_Events_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-howto.php","Chroma_Location_HowTo_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-context.php","Chroma_Location_LLM_Context_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-llm-prompt.php","Chroma_Location_LLM_Prompt_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-media.php","Chroma_Location_Media_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","True"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-pricing.php","Chroma_Location_Pricing_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","True"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-reviews.php","Chroma_Location_Reviews_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-location-service-area.php","Chroma_Location_Service_Area_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'location'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-post-newsroom.php","Chroma_Post_Newsroom extends Chroma_Advanced_SEO_Meta_Box_Base","'post'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-program-relationships.php","Chroma_Program_Relationships extends Chroma_Advanced_SEO_Meta_Box_Base","'program'","","False"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-spanish-content.php","Chroma_Spanish_Content_Meta_Box extends Chroma_Advanced_SEO_Meta_Box_Base","'page', 'post', 'location', 'program'","","True"
"plugins/chroma-seo-pro-reset/inc/meta-boxes\class-universal-faq.php","Chroma_Universal_FAQ extends Chroma_Advanced_SEO_Meta_Box_Base","'page', 'location', 'program', 'post', 'city'","","False"
